cardid,ارزش,پرداخت,جنسیت,مالکیت منزل,درآمد,سن,گوشت,مرغ,پیتزا,همبرگر,چیپس,کنسرو,نوشابه,دلستر,آب معدنی,ماهی,کباب
39808,42.712300,"CHEQUE","M","NO",27000,46,"F","T","T","F","F","F","F","F","F","F","T"
67362,25.356700,"CASH","F","NO",30000,28,"F","T","F","F","F","F","F","F","F","F","T"
10872,20.617600,"CASH","M","NO",13200,36,"F","F","F","T","F","T","T","F","F","T","F"
26748,23.688300,"CARD","F","NO",12200,26,"F","F","T","F","F","F","F","T","F","F","F"
91609,18.813300,"CARD","M","YES",11000,24,"F","F","F","F","F","F","F","F","F","F","F"
26630,46.486700,"CARD","F","NO",15000,35,"F","T","F","F","F","F","F","T","F","T","F"
62995,14.046700,"CASH","F","YES",20800,30,"T","F","F","F","F","F","F","F","T","F","F"
38765,22.203400,"CASH","M","YES",24400,22,"F","F","F","F","F","F","T","F","F","F","F"
28935,22.975000,"CHEQUE","F","NO",29500,46,"T","F","F","F","F","T","F","F","F","F","F"
41792,14.569200,"CASH","M","NO",29600,22,"T","F","F","F","F","F","F","F","F","T","F"
59480,10.328200,"CASH","F","NO",27100,18,"T","T","T","T","F","F","F","T","F","T","F"
60755,13.779600,"CASH","F","YES",20000,48,"T","F","F","F","F","F","F","F","F","T","F"
70998,36.509000,"CARD","M","YES",27300,43,"F","F","T","F","T","T","F","F","F","T","F"
80617,10.201100,"CHEQUE","F","YES",28000,43,"F","F","F","F","F","F","F","F","T","T","F"
61144,10.373600,"CASH","F","NO",27400,24,"T","F","T","F","F","F","F","F","T","T","F"
36405,34.822200,"CHEQUE","F","YES",18400,19,"F","F","F","F","F","T","T","F","T","F","F"
76567,42.248000,"CARD","M","YES",23100,31,"T","F","F","T","F","F","F","F","F","T","F"
85699,18.168800,"CASH","F","YES",27000,29,"F","F","F","F","F","F","F","F","F","T","F"
11357,10.753000,"CASH","F","YES",23100,26,"F","F","F","F","F","F","T","F","F","T","F"
97761,32.318400,"CARD","F","YES",25800,38,"T","F","F","T","F","F","F","T","F","T","T"
20362,31.720000,"CASH","M","YES",25100,38,"F","F","F","F","F","T","F","F","F","T","F"
33173,36.832800,"CASH","F","YES",24700,43,"F","F","F","F","F","F","F","T","F","F","T"
69934,31.178700,"CHEQUE","F","YES",21300,41,"F","F","F","F","F","F","F","F","F","T","F"
14743,21.681300,"CASH","M","YES",12400,48,"T","T","T","T","T","T","T","T","F","F","F"
83071,29.853600,"CASH","M","YES",18100,31,"F","F","F","F","F","F","T","F","F","F","T"
17571,15.270000,"CARD","F","YES",22900,23,"T","F","T","F","F","T","T","F","F","F","F"
37917,32.231800,"CHEQUE","F","NO",27000,32,"F","T","F","F","F","F","F","T","F","F","T"
11236,42.566900,"CARD","M","YES",26800,34,"F","F","F","F","F","F","F","F","F","F","F"
47914,44.591300,"CASH","F","YES",24700,32,"F","T","F","F","F","F","F","T","F","T","T"
58154,49.136700,"CHEQUE","M","NO",21300,50,"F","F","F","F","T","F","F","F","F","F","F"
35197,40.339800,"CASH","M","NO",27400,38,"F","F","F","F","F","T","T","T","F","T","F"
64892,38.999500,"CASH","F","YES",12900,46,"F","F","F","F","F","T","F","T","F","F","F"
102467,13.762300,"CARD","F","YES",26700,48,"F","F","F","T","T","F","T","T","F","F","F"
56677,30.309900,"CASH","F","NO",27800,42,"T","F","F","F","F","F","F","F","F","F","F"
94105,10.371900,"CARD","M","YES",24100,44,"F","T","F","F","F","F","F","F","T","F","F"
63817,29.174800,"CHEQUE","M","YES",19600,28,"F","F","F","F","F","F","F","F","F","F","F"
44887,46.898300,"CARD","M","YES",28400,41,"T","F","F","F","F","F","F","F","F","F","F"
69720,13.783700,"CARD","F","NO",16600,41,"F","T","F","F","F","F","F","F","F","F","F"
97267,33.061800,"CHEQUE","F","YES",10200,19,"F","F","F","F","F","F","F","F","F","T","T"
53750,38.511300,"CHEQUE","F","YES",24800,23,"F","F","F","F","F","F","F","T","F","F","T"
109530,37.484400,"CARD","M","NO",21100,30,"F","T","F","F","F","F","T","F","F","F","F"
65493,26.773200,"CASH","M","YES",19900,43,"F","F","F","F","F","F","F","F","T","F","F"
96694,28.275500,"CARD","M","NO",16300,28,"F","F","F","T","T","T","T","T","F","T","F"
46730,41.617800,"CARD","F","NO",18700,35,"T","F","F","F","T","F","F","F","F","F","F"
60499,11.844200,"CASH","M","YES",12800,30,"T","T","F","F","F","F","F","F","F","F","F"
73004,13.057800,"CHEQUE","M","YES",23800,18,"F","F","F","F","F","F","F","T","F","F","F"
21787,19.536900,"CASH","M","NO",19700,45,"F","F","F","F","F","F","F","F","F","T","F"
28314,38.806200,"CARD","F","YES",29200,37,"F","F","F","F","F","T","F","T","F","F","T"
24651,32.121600,"CASH","F","NO",22700,37,"F","F","F","F","F","F","F","T","T","F","T"
29367,43.314900,"CHEQUE","M","YES",28800,35,"F","F","F","F","F","T","F","F","F","F","F"
15072,41.645700,"CARD","M","NO",28400,34,"F","F","F","F","F","T","F","F","F","F","F"
33622,39.237800,"CASH","M","NO",26200,25,"T","F","F","F","F","F","T","T","F","T","F"
42167,10.620100,"CARD","F","NO",11100,35,"F","T","F","F","F","F","F","T","T","F","F"
43550,10.536500,"CASH","M","NO",10200,47,"F","F","F","T","F","T","T","F","T","F","F"
18724,49.177500,"CASH","F","NO",13500,17,"F","F","T","F","F","F","T","F","F","F","F"
91019,48.402900,"CARD","M","YES",24100,29,"F","F","F","F","F","F","F","T","F","F","F"
68193,15.715700,"CARD","F","YES",29600,24,"T","F","F","F","F","F","F","F","F","F","F"
35262,26.251200,"CHEQUE","M","YES",18100,22,"T","F","F","T","F","F","T","T","F","F","F"
93401,45.796300,"CARD","F","YES",29700,25,"F","F","F","F","F","F","F","T","F","T","T"
15177,24.791900,"CARD","F","NO",11700,46,"F","F","F","F","F","F","F","F","F","F","T"
96173,26.348300,"CARD","F","NO",13800,31,"F","F","F","F","F","F","F","F","T","F","F"
50180,35.543500,"CASH","M","YES",23700,42,"F","F","F","T","T","F","F","F","T","F","T"
31828,30.426000,"CARD","M","NO",12000,17,"F","F","T","F","T","F","F","F","F","T","F"
62022,42.713100,"CASH","F","NO",13300,40,"F","F","F","F","F","F","F","T","F","F","T"
105225,28.534100,"CASH","M","NO",21600,35,"T","F","T","F","F","F","F","F","F","F","T"
64668,31.200900,"CASH","M","NO",11200,49,"F","F","T","T","T","T","T","F","T","F","F"
53320,46.270000,"CARD","M","YES",18200,39,"F","F","F","F","T","F","F","F","T","T","F"
15068,17.894800,"CHEQUE","M","YES",21400,50,"F","F","F","F","F","F","T","F","F","F","F"
99849,37.025200,"CASH","F","YES",11400,17,"T","F","T","F","F","F","F","F","F","F","F"
63694,22.304300,"CARD","F","YES",11700,29,"T","F","T","T","F","F","F","F","F","F","F"
24874,35.938000,"CASH","F","YES",26700,46,"T","T","T","F","F","F","F","T","F","F","T"
104988,24.326300,"CASH","M","NO",24800,39,"F","F","F","F","T","F","F","F","F","F","F"
84902,44.999100,"CARD","M","YES",29600,50,"F","F","F","F","F","T","F","F","F","F","F"
96512,37.872100,"CARD","F","NO",20500,43,"T","F","F","F","F","F","T","T","F","F","T"
99575,19.213400,"CARD","M","YES",28100,38,"F","F","F","F","F","T","F","F","F","T","F"
33413,37.901600,"CASH","F","NO",20700,39,"F","F","F","F","F","T","F","T","F","F","T"
57678,47.659500,"CHEQUE","M","NO",24900,29,"F","F","F","F","F","T","F","F","F","F","F"
89425,28.861500,"CHEQUE","M","NO",20300,17,"T","F","F","T","F","F","T","F","F","T","F"
60571,24.670700,"CASH","F","NO",18600,29,"F","F","F","F","F","T","F","F","F","T","F"
76095,28.002400,"CHEQUE","M","YES",11000,46,"F","F","F","T","F","T","T","F","F","F","F"
48247,48.679400,"CHEQUE","F","NO",11000,50,"F","F","F","F","F","F","F","F","F","F","F"
88019,47.360600,"CHEQUE","M","YES",23300,41,"T","F","F","F","F","F","F","F","F","F","F"
30850,17.181800,"CASH","F","NO",19900,34,"T","F","F","F","F","F","F","F","F","T","F"
66117,25.494500,"CHEQUE","F","NO",27200,26,"F","F","F","F","T","F","F","F","F","T","F"
97377,28.263000,"CARD","F","NO",12700,24,"F","F","F","F","F","F","T","F","F","F","F"
101722,15.722800,"CHEQUE","M","NO",29400,31,"F","T","F","F","F","T","F","F","F","T","F"
43498,33.606500,"CHEQUE","F","YES",17000,44,"F","F","F","F","F","F","F","F","F","F","F"
44562,13.532000,"CHEQUE","F","YES",28600,50,"F","F","F","F","F","T","F","F","T","F","F"
74710,16.370400,"CARD","F","YES",27300,30,"F","F","F","F","F","F","F","F","F","F","F"
85585,36.426000,"CARD","F","YES",26300,46,"F","F","F","F","F","F","F","T","T","F","T"
97287,35.370600,"CHEQUE","M","NO",13800,49,"F","F","F","T","F","T","T","T","F","T","F"
19268,25.055000,"CASH","F","YES",11000,29,"F","F","F","F","F","F","F","F","F","F","F"
50150,39.524800,"CASH","F","NO",18800,27,"T","F","F","F","F","F","F","T","T","T","F"
67455,18.198000,"CARD","F","YES",19300,40,"F","T","F","F","F","F","T","F","F","F","F"
16350,31.892300,"CARD","F","YES",22900,16,"T","T","F","F","F","F","F","F","F","F","F"
42778,35.280800,"CASH","M","YES",15500,17,"F","F","T","T","F","T","T","F","T","F","F"
98181,16.351000,"CASH","F","YES",21900,24,"F","F","T","F","F","F","F","F","T","F","T"
106522,10.007000,"CHEQUE","M","YES",14500,22,"F","F","F","T","F","T","T","F","F","F","F"
36278,43.006600,"CASH","M","NO",20400,40,"F","T","F","F","F","T","F","F","T","F","F"
26130,12.621400,"CHEQUE","F","NO",18400,45,"F","F","F","T","F","F","F","T","F","F","F"
57851,29.562000,"CASH","F","YES",18700,43,"T","F","F","F","T","F","T","F","F","F","T"
81971,19.367200,"CASH","M","NO",28200,17,"T","F","T","T","F","F","F","F","F","T","F"
57068,22.853500,"CHEQUE","M","NO",20900,42,"F","F","T","F","F","F","F","F","F","F","F"
69122,32.016100,"CARD","M","YES",29300,34,"F","F","T","F","T","F","F","F","F","F","F"
68489,22.568400,"CHEQUE","F","YES",24900,18,"F","F","F","F","F","T","F","F","F","T","F"
46471,25.479500,"CHEQUE","M","YES",17100,23,"F","F","F","F","F","F","F","F","F","F","F"
88359,23.021400,"CARD","F","YES",19100,21,"T","T","F","F","F","F","F","F","F","F","T"
